alternating,3,6,Game Condensed,Game Cited,MET1,MET2,MET3,MET4,MET5,MET6,MET7,MET8,MET9,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26
0,3,6,Kinect Just Dance,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Bronner2013EnergyPlayers}\end{tabularx} } &\begin{small}Kinect Just Dance\end{small}   \end{tabularx} },6.77,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Kinect Skiing,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Clevenger2015EnergyKinect}\end{tabularx} } &\begin{small}Kinect Skiing\end{small}   \end{tabularx} },1.568571429,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Kinect Sports Soccer,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Howe2015TheAdults,Wu2015EnergyExergaming}\end{tabularx} } &\begin{small}Kinect Sports Soccer\end{small}   \end{tabularx} },3.8,6.2,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Kinect Tai Chi,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Taylor2012ActivityGames}\end{tabularx} } &\begin{small}Kinect Tai Chi\end{small}   \end{tabularx} },2.16,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Kinect Wipeout,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Clevenger2015EnergyKinect}\end{tabularx} } &\begin{small}Kinect Wipeout\end{small}   \end{tabularx} },3.385714286,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Kinect Your Shape,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Clevenger2015EnergyKinect,Monedero2017EnergyExercise}\end{tabularx} } &\begin{small}Kinect Your Shape\end{small}   \end{tabularx} },2.611428571,6.4,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Kinect Zumba Fitness,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Howe2015TheAdults}\end{tabularx} } &\begin{small}Kinect Zumba Fitness\end{small}   \end{tabularx} },7.4,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Kinect bowling,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Taylor2012ActivityGames,Wu2015EnergyExergaming}\end{tabularx} } &\begin{small}Kinect bowling\end{small}   \end{tabularx} },1.97,2.6,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Kinect table Tennis,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Taylor2012ActivityGames,Wu2015EnergyExergaming}\end{tabularx} } &\begin{small}Kinect table Tennis\end{small}   \end{tabularx} },2.52,4,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Kinect track and Field,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Wu2015EnergyExergaming}\end{tabularx} } &\begin{small}Kinect track and Field\end{small}   \end{tabularx} },5,,,,,,,,,,,,,,,,,,,,,,,,,
